case_a	case_b	fvector	inv_vertex_pairs_equal	inv_edges_equal	inv_face_shapes_equal	inv_cell_shapes_equal	verdict
L3-{4,3,3}-1	L3-{4,3,3}-2	(16, 32, 12, 4)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{4,3,3}-1	L3-{4,3,3}-3	(16, 32, 12, 4)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{4,3,3}-2	L3-{4,3,3}-1	(16, 32, 12, 4)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{4,3,3}-2	L3-{4,3,3}-6	(16, 32, 12, 4)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{4,3,3}-3	L3-{4,3,3}-1	(16, 32, 12, 4)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{4,3,3}-3	L3-{4,3,3}-6	(16, 32, 12, 4)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{4,3,3}-6	L3-{4,3,3}-2	(16, 32, 12, 4)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{4,3,3}-6	L3-{4,3,3}-3	(16, 32, 12, 4)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,3}-3	L3-{3,3,5/2}-1	(600, 1200, 120, 5)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,3}-3	L3-{3,3,5/2}-4	(600, 1200, 120, 5)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,3}-8	L3-{3,3,5/2}-1	(600, 1200, 120, 5)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,3}-8	L3-{3,3,5/2}-4	(600, 1200, 120, 5)	True	False	False	True	DIFFERENT invariants (edges,faces): certificate of non-similarity
L3-{5,3,5/2}-1	L3-{5,3,5/2}-2	(240, 480, 120, 20)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-1	L3-{5,3,5/2}-3	(240, 480, 120, 20)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-2	L3-{5,3,5/2}-1	(240, 480, 120, 20)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
L3-{5,3,5/2}-2	L3-{5,3,5/2}-4	(240, 480, 120, 20)	True	False	True	True	DIFFERENT invariants (edges): certificate of non-similarity
